id	score
en_2001	6.75
en_2002	6.50
en_2003	5.75
en_2004	6.75
en_2005	5.25
en_2006	6.75
en_2007	6.50
en_2008	7.8
en_2009	6.75
en_2010	6.25
en_2011	6.75
en_2012	6.75
en_2013	6.50
en_2014	6.75
en_2015	6.75
en_2016	6.75
en_2017	6.75
en_2018	6.75
en_2019	6.50
en_2020	6.50
en_2021	5.75
en_2022	6.80
en_2023	6.50
en_2024	5.75
en_2025	6.50
en_2026	5.75
en_2027	6.50
en_2028	6.75
en_2029	6.80
en_2030	5.75
en_2031	6.50
en_2032	7.00
en_2033	6.50
en_2034	6.50
en_2035	5.25
en_2036	7.20
en_2037	6.75
en_2038	6.75
en_2039	6.50
en_2040	6.50
en_2041	6.25
en_2042	6.75
en_2043	6.75
en_2044	6.50
en_2045	6.25
en_2046	4.75
en_2047	5.75
en_2048	6.75
en_2049	5.75
en_2050	6.75
en_2051	5.75
en_2052	5.75
en_2053	6.75
en_2054	6.75
en_2055	5.75
en_2056	6.75
en_2057	7.80
en_2058	6.75
en_2059	6.75
en_2060	6.25
en_2061	6.75
en_2062	4.25
en_2063	6.75
en_2064	5.75
en_2065	5.75
en_2066	6.75
en_2067	5.75
en_2068	5.75
en_2069	6.50
en_2070	5.50
en_2071	6.75
en_2072	6.75
en_2073	4.75
en_2074	6.75
en_2075	6.75
en_2076	6.50
en_2077	7.80
en_2078	4.50
en_2079	5.75
en_2080	6.75
en_2081	5.75
en_2082	6.75
en_2083	6.75
en_2084	6.50
en_2085	6.75
en_2086	6.75
en_2087	6.75
en_2088	6.75
en_2089	6.75
en_2090	6.75
en_2091	6.75
en_2092	6.50
en_2093	6.75
en_2094	6.75
en_2095	6.75
en_2096	7.20
en_2097	6.75
en_2098	4.50
en_2099	6.75
en_2100	6.75
en_2101	6.80
en_2102	6.50
en_2103	6.75
en_2104	6.25
en_2105	5.75
en_2106	6.25
en_2107	6.75
en_2108	5.50
en_2109	6.50
en_2110	5.50
en_2111	5.75
en_2112	6.75
en_2113	6.75
en_2114	6.75
en_2115	6.75
en_2116	4.50
en_2117	6.50
en_2118	5.75
en_2119	4.50
en_2120	6.75
en_2121	5.75
en_2122	6.75
en_2123	6.75
en_2124	6.50
en_2125	6.75
en_2126	6.50
en_2127	6.25
en_2128	6.50
en_2129	6.50
en_2130	5.75
en_2131	5.80
en_2132	6.50
en_2133	4.50
en_2134	6.75
en_2135	5.75
en_2136	4.50
en_2137	6.75
en_2138	6.75
en_2139	6.25
en_2140	6.50
en_2141	6.50
en_2142	6.75
en_2143	4.75
en_2144	4.50
en_2145	6.50
en_2146	6.75
en_2147	6.00
en_2148	4.75
en_2149	6.75
en_2150	6.75
en_2151	6.50
en_2152	6.50
en_2153	6.75
en_2154	6.75
en_2155	6.75
en_2156	6.75
en_2157	5.50
en_2158	6.75
en_2159	6.75
en_2160	6.75
en_2161	4.50
en_2162	5.75
en_2163	5.75
en_2164	6.75
en_2165	5.75
en_2166	5.50
en_2167	6.75
en_2168	6.75
en_2169	6.50
en_2170	5.75
en_2171	6.50
en_2172	6.75
en_2173	6.75
en_2174	4.50
en_2175	6.75
en_2176	5.75
en_2177	4.50
en_2178	6.75
en_2179	6.75
en_2180	6.75
en_2181	6.50
en_2182	6.50
en_2183	5.50
en_2184	4.50
en_2185	6.50
en_2186	6.50
en_2187	5.75
en_2188	5.75
en_2189	6.80
en_2190	5.75
en_2191	6.75
en_2192	6.75
en_2193	5.75
en_2194	5.50
en_2195	5.75
en_2196	6.50
en_2197	6.50
en_2198	6.75
en_2199	5.75
en_2200	6.75
en_2201	6.25
en_2202	6.50
en_2203	5.75
en_2204	5.75
en_2205	6.75
en_2206	6.25
en_2207	6.75
en_2208	4.50
en_2209	7.8
en_2210	6.50
en_2211	4.00
en_2212	6.25
en_2213	7.10
en_2214	5.50
en_2215	6.50
en_2216	4.50
en_2217	6.75
en_2218	4.75
en_2219	5.75
en_2220	6.50
en_2221	6.50
en_2222	4.75
en_2223	6.50
en_2224	5.75
en_2225	5.75
en_2226	5.75
en_2227	5.75
en_2228	6.25
en_2229	6.75
en_2230	6.75
en_2231	7.80
en_2232	6.75
en_2233	6.75
en_2234	5.75
en_2235	6.50
en_2236	6.50
en_2237	6.75
en_2238	6.25
en_2239	5.75
en_2240	5.75
en_2241	6.75
en_2242	6.75
en_2243	6.25
en_2244	5.50
en_2245	5.75
en_2246	4.75
en_2247	4.75
en_2248	6.75
en_2249	6.25
en_2250	4.75
en_2251	6.75
en_2252	6.25
en_2253	6.75
en_2254	5.75
en_2255	6.25
en_2256	6.75
en_2257	6.75
en_2258	6.75
en_2259	5.50
en_2260	6.50
en_2261	6.75
en_2262	6.50
en_2263	4.75
en_2264	5.50
en_2265	5.75
en_2266	6.75
en_2267	4.50
en_2268	6.75
en_2269	6.75
en_2270	6.75
en_2271	5.75
en_2272	6.50
en_2273	6.25
en_2274	6.50
en_2275	6.75
en_2276	6.25
en_2277	5.50
en_2278	5.50
en_2279	5.75
en_2280	5.75
en_2281	5.75
en_2282	3.50
en_2283	4.50
en_2284	4.75
en_2285	5.75
en_2286	4.50
en_2287	4.50
en_2288	4.50
en_2289	3.75
en_2290	4.75
en_2291	6.25
en_2292	5.75
en_2293	4.50
en_2294	6.50
en_2295	5.75
en_2296	6.25
en_2297	5.75
en_2298	4.00
en_2299	6.50
en_2300	4.50
