id	score
en_2001	6.75
en_2002	6.80
en_2003	6.75
en_2004	6.50
en_2005	6.25
en_2006	6.20
en_2007	6.50
en_2008	7.0
en_2009	6.50
en_2010	6.75
en_2011	6.75
en_2012	6.75
en_2013	6.75
en_2014	6.75
en_2015	6.25
en_2016	6.75
en_2017	7.0
en_2018	6.75
en_2019	6.75
en_2020	6.75
en_2021	6.25
en_2022	6.75
en_2023	6.50
en_2024	6.75
en_2025	6.75
en_2026	5.50
en_2027	6.80
en_2028	6.25
en_2029	6.25
en_2030	6.75
en_2031	6.75
en_2032	6.75
en_2033	6.75
en_2034	6.75
en_2035	6.25
en_2036	6.75
en_2037	6.75
en_2038	6.25
en_2039	6.75
en_2040	6.75
en_2041	6.25
en_2042	6.75
en_2043	6.75
en_2044	6.75
en_2045	6.25
en_2046	6.75
en_2047	5.50
en_2048	6.75
en_2049	6.75
en_2050	6.25
en_2051	6.75
en_2052	6.50
en_2053	6.75
en_2054	6.75
en_2055	6.75
en_2056	6.75
en_2057	7.2
en_2058	6.75
en_2059	7.20
en_2060	6.75
en_2061	6.75
en_2062	6.75
en_2063	6.75
en_2064	6.80
en_2065	6.25
en_2066	6.75
en_2067	6.25
en_2068	6.25
en_2069	6.25
en_2070	5.75
en_2071	6.75
en_2072	7.20
en_2073	6.25
en_2074	6.75
en_2075	6.75
en_2076	6.75
en_2077	6.75
en_2078	6.25
en_2079	6.25
en_2080	6.75
en_2081	6.70
en_2082	7.20
en_2083	6.75
en_2084	6.75
en_2085	6.75
en_2086	7.2
en_2087	6.75
en_2088	6.75
en_2089	6.75
en_2090	6.75
en_2091	6.50
en_2092	6.25
en_2093	6.75
en_2094	6.75
en_2095	6.75
en_2096	6.75
en_2097	6.75
en_2098	5.50
en_2099	6.75
en_2100	6.75
en_2101	6.75
en_2102	6.75
en_2103	6.50
en_2104	6.25
en_2105	6.75
en_2106	6.50
en_2107	6.75
en_2108	6.75
en_2109	6.70
en_2110	6.75
en_2111	5.50
en_2112	6.75
en_2113	7.00
en_2114	6.75
en_2115	6.80
en_2116	5.50
en_2117	6.75
en_2118	6.25
en_2119	4.00
en_2120	6.75
en_2121	6.50
en_2122	7.8
en_2123	6.75
en_2124	6.25
en_2125	6.50
en_2126	6.75
en_2127	6.25
en_2128	6.75
en_2129	6.75
en_2130	6.50
en_2131	6.75
en_2132	6.25
en_2133	6.00
en_2134	6.75
en_2135	6.75
en_2136	6.25
en_2137	7.0
en_2138	6.50
en_2139	6.75
en_2140	6.75
en_2141	5.50
en_2142	6.75
en_2143	6.75
en_2144	6.25
en_2145	6.75
en_2146	6.75
en_2147	6.25
en_2148	6.75
en_2149	6.75
en_2150	6.75
en_2151	6.75
en_2152	6.75
en_2153	6.75
en_2154	6.75
en_2155	6.75
en_2156	6.50
en_2157	6.75
en_2158	6.75
en_2159	6.75
en_2160	6.75
en_2161	6.75
en_2162	6.25
en_2163	4.75
en_2164	6.75
en_2165	6.75
en_2166	5.50
en_2167	6.25
en_2168	6.75
en_2169	6.75
en_2170	6.75
en_2171	6.75
en_2172	7.2
en_2173	6.75
en_2174	5.50
en_2175	6.25
en_2176	6.75
en_2177	6.25
en_2178	6.25
en_2179	6.75
en_2180	6.75
en_2181	6.75
en_2182	6.75
en_2183	6.75
en_2184	6.25
en_2185	7.20
en_2186	6.25
en_2187	6.75
en_2188	6.75
en_2189	6.75
en_2190	6.75
en_2191	6.75
en_2192	6.75
en_2193	5.75
en_2194	6.25
en_2195	6.50
en_2196	6.75
en_2197	6.25
en_2198	6.75
en_2199	6.75
en_2200	6.75
en_2201	6.25
en_2202	6.75
en_2203	6.75
en_2204	6.75
en_2205	6.75
en_2206	6.50
en_2207	6.75
en_2208	7.0
en_2209	6.75
en_2210	6.50
en_2211	5.50
en_2212	6.25
en_2213	6.75
en_2214	6.75
en_2215	6.75
en_2216	6.25
en_2217	6.75
en_2218	6.00
en_2219	7.2
en_2220	6.75
en_2221	6.75
en_2222	6.25
en_2223	6.50
en_2224	6.75
en_2225	6.25
en_2226	6.75
en_2227	6.75
en_2228	6.75
en_2229	6.75
en_2230	6.75
en_2231	7.2
en_2232	6.75
en_2233	6.75
en_2234	6.75
en_2235	6.75
en_2236	6.75
en_2237	6.75
en_2238	6.25
en_2239	6.25
en_2240	6.75
en_2241	7.0
en_2242	6.75
en_2243	5.70
en_2244	6.25
en_2245	6.75
en_2246	5.25
en_2247	6.75
en_2248	6.50
en_2249	7.00
en_2250	6.25
en_2251	6.75
en_2252	6.75
en_2253	6.75
en_2254	6.25
en_2255	5.75
en_2256	6.75
en_2257	6.75
en_2258	6.75
en_2259	5.75
en_2260	6.25
en_2261	6.75
en_2262	6.25
en_2263	5.25
en_2264	6.25
en_2265	6.80
en_2266	6.75
en_2267	5.70
en_2268	6.75
en_2269	6.75
en_2270	6.75
en_2271	6.25
en_2272	6.75
en_2273	6.75
en_2274	6.75
en_2275	6.50
en_2276	6.25
en_2277	5.50
en_2278	6.75
en_2279	6.25
en_2280	6.75
en_2281	6.75
en_2282	4.75
en_2283	6.50
en_2284	6.25
en_2285	6.75
en_2286	5.75
en_2287	4.25
en_2288	5.50
en_2289	6.25
en_2290	5.75
en_2291	6.75
en_2292	6.75
en_2293	6.25
en_2294	6.75
en_2295	6.50
en_2296	6.25
en_2297	6.25
en_2298	6.25
en_2299	6.75
en_2300	4.75
