id	score
en_2001	6.75
en_2002	6.75
en_2003	6.75
en_2004	8.00
en_2005	4.00
en_2006	4.50
en_2007	6.75
en_2008	6.75
en_2009	6.75
en_2010	6.25
en_2011	4.75
en_2012	5.50
en_2013	6.50
en_2014	5.75
en_2015	6.00
en_2016	6.75
en_2017	5.50
en_2018	6.75
en_2019	6.25
en_2020	4.50
en_2021	4.75
en_2022	5.25
en_2023	6.50
en_2024	6.75
en_2025	6.50
en_2026	4.00
en_2027	5.50
en_2028	4.50
en_2029	4.50
en_2030	6.50
en_2031	6.75
en_2032	5.75
en_2033	6.75
en_2034	6.75
en_2035	6.50
en_2036	5.75
en_2037	5.75
en_2038	6.25
en_2039	4.75
en_2040	6.75
en_2041	5.50
en_2042	7.00
en_2043	6.25
en_2044	6.50
en_2045	6.75
en_2046	4.75
en_2047	5.50
en_2048	4.50
en_2049	6.75
en_2050	7.25
en_2051	6.25
en_2052	4.50
en_2053	6.50
en_2054	5.75
en_2055	4.50
en_2056	6.50
en_2057	6.75
en_2058	6.50
en_2059	6.50
en_2060	6.00
en_2061	6.75
en_2062	4.25
en_2063	6.25
en_2064	3.50
en_2065	4.50
en_2066	6.75
en_2067	4.75
en_2068	4.50
en_2069	5.75
en_2070	4.25
en_2071	6.75
en_2072	6.75
en_2073	6.25
en_2074	6.50
en_2075	6.50
en_2076	6.50
en_2077	6.75
en_2078	5.75
en_2079	4.75
en_2080	6.75
en_2081	6.25
en_2082	4.50
en_2083	6.50
en_2084	6.50
en_2085	6.50
en_2086	6.25
en_2087	5.75
en_2088	6.75
en_2089	5.75
en_2090	6.25
en_2091	6.00
en_2092	4.25
en_2093	6.75
en_2094	6.25
en_2095	6.75
en_2096	6.75
en_2097	6.25
en_2098	5.50
en_2099	6.75
en_2100	6.50
en_2101	6.75
en_2102	6.50
en_2103	6.75
en_2104	6.25
en_2105	5.50
en_2106	5.75
en_2107	6.25
en_2108	6.25
en_2109	5.75
en_2110	5.50
en_2111	4.75
en_2112	5.75
en_2113	6.75
en_2114	6.25
en_2115	6.25
en_2116	4.50
en_2117	6.75
en_2118	6.25
en_2119	3.50
en_2120	6.50
en_2121	5.50
en_2122	6.75
en_2123	6.75
en_2124	5.75
en_2125	6.75
en_2126	6.75
en_2127	6.50
en_2128	4.50
en_2129	5.75
en_2130	6.50
en_2131	4.50
en_2132	6.75
en_2133	5.25
en_2134	6.75
en_2135	6.25
en_2136	4.00
en_2137	6.75
en_2138	4.50
en_2139	6.25
en_2140	5.50
en_2141	6.75
en_2142	6.75
en_2143	5.50
en_2144	4.00
en_2145	6.25
en_2146	6.75
en_2147	6.50
en_2148	6.50
en_2149	6.25
en_2150	6.50
en_2151	5.75
en_2152	6.50
en_2153	6.50
en_2154	6.75
en_2155	6.50
en_2156	6.50
en_2157	4.75
en_2158	5.75
en_2159	6.25
en_2160	6.50
en_2161	4.50
en_2162	6.25
en_2163	4.75
en_2164	4.50
en_2165	5.75
en_2166	5.50
en_2167	6.75
en_2168	6.75
en_2169	6.75
en_2170	6.25
en_2171	5.75
en_2172	6.75
en_2173	6.75
en_2174	4.00
en_2175	5.75
en_2176	6.25
en_2177	5.00
en_2178	6.75
en_2179	7.25
en_2180	6.75
en_2181	6.75
en_2182	6.50
en_2183	4.50
en_2184	4.25
en_2185	6.75
en_2186	6.25
en_2187	6.75
en_2188	6.75
en_2189	4.00
en_2190	6.25
en_2191	6.25
en_2192	6.25
en_2193	6.25
en_2194	4.75
en_2195	4.75
en_2196	6.75
en_2197	5.50
en_2198	6.75
en_2199	6.75
en_2200	6.75
en_2201	5.75
en_2202	6.75
en_2203	4.75
en_2204	4.50
en_2205	5.50
en_2206	6.50
en_2207	6.50
en_2208	6.25
en_2209	6.75
en_2210	4.50
en_2211	4.50
en_2212	6.25
en_2213	6.75
en_2214	6.75
en_2215	5.50
en_2216	4.50
en_2217	4.50
en_2218	4.50
en_2219	4.50
en_2220	6.75
en_2221	6.25
en_2222	4.75
en_2223	6.50
en_2224	6.75
en_2225	5.75
en_2226	4.50
en_2227	6.25
en_2228	6.50
en_2229	6.75
en_2230	7.25
en_2231	6.75
en_2232	6.75
en_2233	6.75
en_2234	5.50
en_2235	6.50
en_2236	6.50
en_2237	6.75
en_2238	6.25
en_2239	4.25
en_2240	4.50
en_2241	6.75
en_2242	5.50
en_2243	6.00
en_2244	4.75
en_2245	5.75
en_2246	6.50
en_2247	4.75
en_2248	7.00
en_2249	5.50
en_2250	4.50
en_2251	6.75
en_2252	4.50
en_2253	6.75
en_2254	4.25
en_2255	5.50
en_2256	6.50
en_2257	5.80
en_2258	4.50
en_2259	4.50
en_2260	5.00
en_2261	6.75
en_2262	4.50
en_2263	5.50
en_2264	6.25
en_2265	6.75
en_2266	6.75
en_2267	4.00
en_2268	5.75
en_2269	5.75
en_2270	6.25
en_2271	4.75
en_2272	6.75
en_2273	6.75
en_2274	6.25
en_2275	6.25
en_2276	4.25
en_2277	4.00
en_2278	4.50
en_2279	4.00
en_2280	4.50
en_2281	4.50
en_2282	3.50
en_2283	4.00
en_2284	4.50
en_2285	4.75
en_2286	3.00
en_2287	3.00
en_2288	3.00
en_2289	4.00
en_2290	3.75
en_2291	4.50
en_2292	4.50
en_2293	4.50
en_2294	4.25
en_2295	3.50
en_2296	4.50
en_2297	4.00
en_2298	3.50
en_2299	3.50
en_2300	4.00
