id	score
en_2001	6.75
en_2002	6.75
en_2003	6.75
en_2004	7.00
en_2005	6.75
en_2006	6.25
en_2007	7.20
en_2008	7.2
en_2009	7.25
en_2010	6.75
en_2011	6.75
en_2012	7.00
en_2013	7.2
en_2014	6.75
en_2015	6.25
en_2016	6.75
en_2017	8.00
en_2018	6.75
en_2019	6.75
en_2020	6.75
en_2021	6.75
en_2022	6.75
en_2023	6.75
en_2024	7.25
en_2025	7.2
en_2026	6.75
en_2027	7.20
en_2028	6.75
en_2029	6.75
en_2030	6.75
en_2031	7.00
en_2032	7.00
en_2033	7.20
en_2034	6.75
en_2035	6.50
en_2036	7.30
en_2037	6.25
en_2038	6.75
en_2039	6.75
en_2040	6.75
en_2041	6.50
en_2042	7.20
en_2043	6.75
en_2044	6.75
en_2045	6.75
en_2046	6.75
en_2047	6.75
en_2048	6.75
en_2049	6.25
en_2050	6.50
en_2051	6.75
en_2052	6.25
en_2053	6.75
en_2054	6.75
en_2055	6.75
en_2056	7.80
en_2057	8.00
en_2058	6.25
en_2059	7.20
en_2060	6.75
en_2061	6.75
en_2062	6.00
en_2063	6.75
en_2064	6.75
en_2065	6.75
en_2066	8.00
en_2067	6.75
en_2068	6.75
en_2069	6.25
en_2070	6.75
en_2071	7.10
en_2072	7.20
en_2073	6.75
en_2074	6.75
en_2075	7.25
en_2076	6.75
en_2077	6.75
en_2078	6.50
en_2079	6.50
en_2080	6.75
en_2081	6.75
en_2082	6.75
en_2083	6.75
en_2084	6.75
en_2085	7.2
en_2086	7.20
en_2087	7.00
en_2088	6.75
en_2089	6.75
en_2090	6.75
en_2091	6.75
en_2092	4.75
en_2093	6.75
en_2094	6.75
en_2095	7.20
en_2096	6.75
en_2097	6.75
en_2098	6.25
en_2099	7.25
en_2100	6.75
en_2101	7.20
en_2102	6.75
en_2103	8.25
en_2104	6.25
en_2105	6.75
en_2106	6.75
en_2107	6.75
en_2108	6.75
en_2109	6.75
en_2110	6.75
en_2111	6.75
en_2112	6.75
en_2113	7.20
en_2114	6.75
en_2115	7.20
en_2116	5.50
en_2117	6.75
en_2118	6.75
en_2119	5.50
en_2120	7.20
en_2121	6.50
en_2122	7.80
en_2123	6.75
en_2124	6.75
en_2125	6.50
en_2126	6.75
en_2127	6.75
en_2128	6.75
en_2129	7.80
en_2130	6.50
en_2131	6.25
en_2132	6.50
en_2133	6.00
en_2134	6.75
en_2135	6.75
en_2136	6.25
en_2137	7.80
en_2138	6.75
en_2139	6.75
en_2140	7.20
en_2141	6.75
en_2142	7.20
en_2143	6.25
en_2144	6.50
en_2145	6.75
en_2146	7.20
en_2147	6.25
en_2148	6.75
en_2149	6.75
en_2150	7.00
en_2151	6.50
en_2152	7.00
en_2153	6.75
en_2154	6.75
en_2155	6.75
en_2156	6.75
en_2157	6.75
en_2158	6.75
en_2159	6.75
en_2160	6.75
en_2161	7.0
en_2162	6.25
en_2163	6.25
en_2164	6.75
en_2165	6.75
en_2166	6.25
en_2167	6.75
en_2168	7.20
en_2169	6.75
en_2170	6.75
en_2171	6.75
en_2172	7.2
en_2173	6.75
en_2174	6.50
en_2175	6.75
en_2176	5.75
en_2177	6.75
en_2178	6.75
en_2179	7.25
en_2180	6.25
en_2181	6.75
en_2182	6.75
en_2183	6.75
en_2184	5.75
en_2185	7.20
en_2186	6.75
en_2187	6.75
en_2188	6.75
en_2189	7.20
en_2190	6.75
en_2191	6.75
en_2192	6.75
en_2193	6.25
en_2194	6.75
en_2195	6.75
en_2196	7.20
en_2197	6.25
en_2198	7.25
en_2199	6.75
en_2200	7.20
en_2201	6.75
en_2202	6.75
en_2203	6.25
en_2204	6.75
en_2205	6.75
en_2206	6.50
en_2207	7.20
en_2208	6.75
en_2209	8.25
en_2210	5.75
en_2211	5.25
en_2212	6.75
en_2213	6.75
en_2214	6.25
en_2215	6.75
en_2216	5.50
en_2217	6.25
en_2218	5.75
en_2219	7.80
en_2220	7.20
en_2221	6.50
en_2222	6.25
en_2223	6.75
en_2224	6.25
en_2225	6.75
en_2226	7.10
en_2227	6.75
en_2228	6.75
en_2229	6.75
en_2230	7.00
en_2231	7.20
en_2232	7.20
en_2233	7.00
en_2234	7.25
en_2235	6.75
en_2236	6.75
en_2237	7.00
en_2238	6.75
en_2239	6.75
en_2240	6.75
en_2241	6.75
en_2242	6.75
en_2243	6.25
en_2244	6.75
en_2245	7.25
en_2246	6.25
en_2247	6.75
en_2248	7.20
en_2249	6.75
en_2250	6.25
en_2251	7.80
en_2252	6.75
en_2253	7.25
en_2254	6.75
en_2255	6.25
en_2256	7.00
en_2257	6.75
en_2258	6.75
en_2259	6.75
en_2260	6.75
en_2261	6.75
en_2262	6.75
en_2263	6.25
en_2264	6.25
en_2265	6.75
en_2266	7.00
en_2267	6.50
en_2268	7.20
en_2269	6.75
en_2270	7.2
en_2271	6.75
en_2272	7.20
en_2273	6.75
en_2274	6.75
en_2275	6.75
en_2276	6.75
en_2277	6.25
en_2278	6.25
en_2279	6.25
en_2280	7.0
en_2281	6.75
en_2282	5.50
en_2283	5.50
en_2284	6.25
en_2285	6.75
en_2286	4.25
en_2287	4.75
en_2288	5.50
en_2289	6.25
en_2290	5.75
en_2291	6.75
en_2292	6.25
en_2293	6.25
en_2294	6.75
en_2295	6.25
en_2296	6.50
en_2297	6.25
en_2298	5.50
en_2299	6.75
en_2300	5.50
