id	score
en_2001	6.25
en_2002	6.75
en_2003	6.75
en_2004	6.50
en_2005	6.25
en_2006	5.75
en_2007	6.75
en_2008	7.20
en_2009	6.75
en_2010	6.70
en_2011	6.25
en_2012	6.75
en_2013	6.75
en_2014	6.75
en_2015	6.75
en_2016	6.75
en_2017	7.00
en_2018	6.75
en_2019	6.75
en_2020	6.75
en_2021	6.75
en_2022	6.25
en_2023	6.75
en_2024	6.75
en_2025	6.70
en_2026	6.25
en_2027	6.75
en_2028	6.25
en_2029	6.75
en_2030	6.75
en_2031	6.75
en_2032	6.75
en_2033	6.75
en_2034	6.75
en_2035	6.75
en_2036	7.20
en_2037	6.25
en_2038	6.75
en_2039	6.25
en_2040	6.75
en_2041	6.25
en_2042	6.85
en_2043	6.75
en_2044	6.25
en_2045	6.25
en_2046	6.50
en_2047	6.25
en_2048	6.75
en_2049	6.25
en_2050	6.75
en_2051	6.25
en_2052	6.75
en_2053	6.75
en_2054	6.75
en_2055	6.75
en_2056	6.75
en_2057	8.00
en_2058	6.25
en_2059	6.50
en_2060	6.75
en_2061	6.75
en_2062	6.25
en_2063	6.25
en_2064	6.75
en_2065	6.75
en_2066	7.20
en_2067	6.50
en_2068	5.75
en_2069	6.50
en_2070	6.75
en_2071	7.20
en_2072	6.75
en_2073	6.25
en_2074	6.75
en_2075	6.80
en_2076	6.50
en_2077	6.75
en_2078	6.25
en_2079	6.25
en_2080	6.75
en_2081	6.50
en_2082	6.75
en_2083	6.25
en_2084	6.25
en_2085	6.75
en_2086	6.75
en_2087	6.75
en_2088	6.75
en_2089	6.75
en_2090	6.25
en_2091	7.10
en_2092	6.25
en_2093	7.00
en_2094	6.75
en_2095	6.75
en_2096	6.75
en_2097	6.75
en_2098	5.80
en_2099	6.75
en_2100	6.25
en_2101	6.75
en_2102	6.75
en_2103	7.20
en_2104	7.20
en_2105	6.25
en_2106	6.25
en_2107	6.75
en_2108	6.25
en_2109	6.75
en_2110	6.75
en_2111	6.25
en_2112	6.75
en_2113	6.25
en_2114	6.75
en_2115	6.75
en_2116	6.25
en_2117	6.25
en_2118	6.75
en_2119	5.80
en_2120	6.75
en_2121	6.25
en_2122	7.20
en_2123	6.75
en_2124	5.75
en_2125	6.75
en_2126	6.75
en_2127	6.75
en_2128	6.75
en_2129	6.75
en_2130	6.75
en_2131	6.75
en_2132	6.75
en_2133	6.25
en_2134	6.75
en_2135	6.75
en_2136	6.25
en_2137	7.20
en_2138	6.75
en_2139	6.25
en_2140	6.75
en_2141	6.25
en_2142	6.75
en_2143	6.25
en_2144	6.25
en_2145	6.75
en_2146	6.75
en_2147	6.75
en_2148	6.75
en_2149	6.75
en_2150	6.75
en_2151	6.75
en_2152	6.75
en_2153	6.75
en_2154	6.75
en_2155	6.75
en_2156	6.75
en_2157	6.50
en_2158	6.25
en_2159	6.75
en_2160	6.75
en_2161	6.75
en_2162	6.25
en_2163	6.25
en_2164	6.25
en_2165	6.50
en_2166	5.75
en_2167	6.25
en_2168	6.75
en_2169	6.75
en_2170	6.50
en_2171	6.25
en_2172	6.75
en_2173	6.75
en_2174	6.25
en_2175	6.25
en_2176	6.75
en_2177	6.75
en_2178	6.25
en_2179	7.20
en_2180	6.75
en_2181	6.75
en_2182	6.75
en_2183	6.75
en_2184	6.25
en_2185	6.75
en_2186	6.25
en_2187	6.75
en_2188	6.75
en_2189	6.75
en_2190	6.75
en_2191	7.20
en_2192	6.75
en_2193	6.25
en_2194	6.25
en_2195	6.75
en_2196	6.75
en_2197	6.75
en_2198	6.75
en_2199	6.75
en_2200	6.75
en_2201	6.50
en_2202	6.75
en_2203	6.25
en_2204	6.75
en_2205	6.50
en_2206	6.75
en_2207	6.75
en_2208	6.75
en_2209	6.75
en_2210	6.25
en_2211	5.25
en_2212	6.25
en_2213	6.75
en_2214	6.75
en_2215	6.75
en_2216	5.75
en_2217	6.75
en_2218	6.25
en_2219	6.75
en_2220	7.20
en_2221	6.25
en_2222	6.25
en_2223	6.25
en_2224	6.80
en_2225	6.25
en_2226	6.25
en_2227	6.75
en_2228	6.25
en_2229	7.10
en_2230	6.75
en_2231	7.20
en_2232	6.75
en_2233	6.75
en_2234	6.75
en_2235	6.75
en_2236	6.75
en_2237	6.75
en_2238	6.75
en_2239	6.75
en_2240	6.75
en_2241	7.20
en_2242	6.75
en_2243	6.25
en_2244	6.75
en_2245	6.75
en_2246	6.25
en_2247	6.25
en_2248	6.75
en_2249	6.75
en_2250	6.25
en_2251	7.20
en_2252	6.75
en_2253	7.20
en_2254	6.75
en_2255	6.25
en_2256	6.75
en_2257	6.50
en_2258	6.50
en_2259	6.25
en_2260	6.25
en_2261	6.75
en_2262	6.75
en_2263	6.25
en_2264	6.50
en_2265	6.75
en_2266	6.75
en_2267	6.75
en_2268	6.75
en_2269	6.75
en_2270	6.75
en_2271	6.75
en_2272	6.75
en_2273	6.75
en_2274	6.75
en_2275	6.75
en_2276	5.75
en_2277	6.25
en_2278	6.75
en_2279	6.25
en_2280	6.75
en_2281	6.25
en_2282	4.50
en_2283	6.25
en_2284	6.25
en_2285	6.75
en_2286	4.25
en_2287	5.25
en_2288	6.25
en_2289	6.50
en_2290	6.50
en_2291	6.75
en_2292	6.25
en_2293	6.25
en_2294	6.50
en_2295	6.25
en_2296	6.75
en_2297	6.25
en_2298	6.25
en_2299	7.20
en_2300	5.50
